2025-10-17 09:51:21 | INFO     | TradierClient | __init__:37 | Tradier trading disabled - alerts only mode
2025-10-17 09:51:21 | INFO     | SilentTradier | __init__:41 | Silent Tradier executor disabled - alerts only mode
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:184 | Starting Miyagi Multi-Symbol Multi-Strategy Tests
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:185 | ============================================================
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:199 | 
Running Configuration...
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_configuration:18 | Testing Multi-Symbol Configuration...
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_configuration:21 | Overnight Bias Symbols: ['IWM', 'SPY', 'QQQ']
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_configuration:22 | VWAP Strategy Symbols: ['IWM']
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_configuration:23 | Enable VWAP Strategy: True
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_configuration:24 | Enable Overnight Bias Strategy: True
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_configuration:35 | ✓ Multi-symbol configuration valid
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:204 | ✓ Configuration PASSED
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:199 | 
Running Orchestrator Initialization...
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_orchestrator_initialization:41 | Testing Multi-Strategy Orchestrator Initialization...
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:105 | Initializing strategy instances for multiple symbols
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:111 | Initialized Overnight Bias strategy for IWM
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:111 | Initialized Overnight Bias strategy for SPY
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:111 | Initialized Overnight Bias strategy for QQQ
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:123 | Initialized VWAP strategy for IWM
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:125 | Strategy instances initialized: 3 Overnight Bias, 1 VWAP
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | __init__:89 | Daily reset check: current_date=2025-10-17, has_last_date=False, last_date=None
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | __init__:94 | New day detected - resetting overnight analysis flag for 2025-10-17
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | __init__:101 | Overnight analysis needed for today - will process on startup
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_orchestrator_initialization:48 | Overnight Bias Instances: ['IWM', 'SPY', 'QQQ']
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_orchestrator_initialization:49 | VWAP Instances: ['IWM']
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_orchestrator_initialization:52 | Active Strategies: {'vwap': True, 'overnight_bias': True}
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_orchestrator_initialization:56 | Strategy Status: {'strategy_active': False, 'active_strategies': {'vwap': True, 'overnight_bias': True}, 'overnight_bias_symbols': ['IWM', 'SPY', 'QQQ'], 'vwap_strategy_symbols': ['IWM'], 'current_bias': None, 'trigger_levels': (0.0, 0.0), 'entry_window_active': False, 'active_positions': 0, 'daily_pnl': 0.0, 'position_summary': {'total_positions': 0, 'available_cash': 4666.666666666666, 'total_risk': 0, 'daily_pnl': 0.0, 'max_daily_loss': 700.0, 'positions': []}, 'invalidation_status': {'consecutive_closes_inside': 0, 'consecutive_closes_across_vwap': 0, 'current_vwap': 0.0, 'vwap_side': None, 'active_positions': 0, 'max_consecutive_closes': 2}, 'overnight_bias_statuses': {'IWM': {'strategy_name': 'Overnight Bias / 0DTE Execution', 'current_bias': None, 'bias_confidence': 0.0, 'overnight_high': None, 'overnight_low': None, 'current_ema20': 0.0, 'active_positions': 0, 'daily_pnl': 0.0, 'overnight_processed': False}, 'SPY': {'strategy_name': 'Overnight Bias / 0DTE Execution', 'current_bias': None, 'bias_confidence': 0.0, 'overnight_high': None, 'overnight_low': None, 'current_ema20': 0.0, 'active_positions': 0, 'daily_pnl': 0.0, 'overnight_processed': False}, 'QQQ': {'strategy_name': 'Overnight Bias / 0DTE Execution', 'current_bias': None, 'bias_confidence': 0.0, 'overnight_high': None, 'overnight_low': None, 'current_ema20': 0.0, 'active_positions': 0, 'daily_pnl': 0.0, 'overnight_processed': False}}}
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_orchestrator_initialization:58 | ✓ Multi-strategy orchestrator initialized successfully
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:204 | ✓ Orchestrator Initialization PASSED
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | main:199 | 
Running Symbol Data Handling...
2025-10-17 09:51:21 | INFO     | TestMultiSymbol | test_symbol_data_handling:68 | Testing Symbol-Specific Data Handling...
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:105 | Initializing strategy instances for multiple symbols
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:111 | Initialized Overnight Bias strategy for IWM
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:111 | Initialized Overnight Bias strategy for SPY
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:111 | Initialized Overnight Bias strategy for QQQ
2025-10-17 09:51:21 | INFO     | MultiStrategyOrchestrator | _initialize_strategy_instances:123 | Initialized VWAP strategy for IWM
